CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_N3_3_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_N3_C4_3,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_/_/_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_N3_0_H1_1_/_1_/_0_0,FC_10_C4_0_Cl1_1_/_1_/_0_0,FC_11_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_S2_0_/_/_0,FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_16_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_21_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_22_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_24_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_27_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_28_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_31_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_33_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_34_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_36_C4_0_C4_1_Cl1_2_Cl1_2_/_2_1_1_/_0_0_0_0,FC_37_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_38_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_39_C4_0_C4_1_N3_2_/_1_3_/_0_0_0,FC_40_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_41_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_42_C4_0_O2_1_C4_1_H1_2_H1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_43_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_N3_3,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Polymethacrylonitrile,0.0185185,0,0,0,0.282407,0,0,0,0.5,0,0.027027,0,0,0,0,0,0,0,0,0,0.333333,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly[4_4-heptaneBis(4-phenyl)carbonate],0.351852,0.2,0.285714,0.2,0.308642,0,0.297297,0.238095,0.5,1,0.27027,0.2,0.5,0.214286,0,0.269231,0,0.5,0,0,0.666667,0,0,0.166667,0.125,0.166667,0.285714,0.333333,1,0,0,0,0,0,0,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0.333333,0,0,0,0,0,0.166667,0,0.235294,0.25,0,0.5,0.166667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(1_4-butadiene),0,0,0.0357143,0.1,0.101852,0,0.0810811,0,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0,0,0,0,0,0,0.1875,0.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Poly(3-methyl-1-butene),0.0185185,0,0,0,0,0,0,0.047619,0,0,0.027027,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Ultem,0.759259,0.7,0.660714,0.3,0.543478,0,0.513514,0.857143,0.5,0,0.648649,0.7,0,0.535714,0,0.634615,0.333333,0.5,0,0,0.333333,0,0,0.666667,0.25,0.333333,0.714286,0.833333,0,0,0,0,0,0.454545,0.25,0.333333,0,0,1,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0.666667,0,0,0.333333,0,0,0,0,0,0.666667,0,0.529412,0.6,0,0.5,0.666667,0.333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly[2_2-propaneBis{4-(2_6-dichlorophenyl)}carbonate],0.351852,0.2,0.25,0.2,1,0,0.135135,0.428571,0.5,0,0.297297,0.2,0,0.214286,0,0.230769,0,0.5,0,0,0.333333,1,0,0.166667,0,0,0.285714,0.333333,0,0,0,0,0,0.181818,0.5,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0.333333,0,0,1,0,0,0.166667,0,0.117647,0.2,0,0.5,0.166667,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(vinylPropionate),0.0555556,0,0.0357143,0,0.277778,0,0.027027,0.0952381,0,0.5,0.027027,0.05,0,0,0,0.0192308,0,0.25,0,0,0.333333,0,0,0.166667,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.166667,0,0.0294118,0,0.0555556,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(ethyl-p-xylylene),0.111111,0.1,0.107143,0.05,0.185185,0,0.108108,0.142857,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0.333333,0,0,0,0.125,0,0.214286,0.25,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.0882353,0.1,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(ethylene-2_6-naphthalenedicarboxylate),0.259259,0.2,0.25,0.25,0.552249,0,0.243243,0.285714,0,0,0.297297,0.2,0,0.178571,0,0.230769,0,0.5,0,0,0,0,0,0.333333,0.125,0.0833333,0.285714,0.333333,0,0,0,0,0.666667,0.272727,0,0,0,0,0,0.333333,0,0,0,0,0,0.0625,0,0,0,0,0,0,1,0.5,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0.176471,0.2,0.111111,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0
Poly(p-ethoxyStyrene),0.12963,0.1,0.125,0,0.245572,0,0.135135,0.142857,0,0.5,0.108108,0.15,0,0.107143,0,0.115385,0,0.25,0,0,0.333333,0,0,0,0.0625,0.0833333,0.285714,0.166667,0,0,0,0,0,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.147059,0.1,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
PhenoxyResin,0.314815,0.2,0.285714,0.3,0.313911,0,0.297297,0.238095,0.5,0,0.351351,0.2,0,0.214286,0,0.269231,0,0.5,0,0,0.333333,0,0,0.166667,0.125,0.166667,0.428571,0.333333,0,0,0,0,0.666667,0,0,0.333333,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,0,0,0.333333,0,0,0.333333,0,0,0,0,1,0,0,0.235294,0.2,0.111111,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly[1_1-butaneBis(4-phenyl)carbonate],0.296296,0.2,0.267857,0.2,0.385802,0,0.27027,0.285714,0,0.5,0.27027,0.25,0,0.214286,0,0.25,0,0.5,0,0,0.333333,0,0,0.166667,0.125,0.166667,0.357143,0.333333,0,0,0,0,0,0.181818,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.666667,0,0,0.166667,0,0,0,0,0,0.166667,0,0.264706,0.2,0,0.5,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly[2_2-propaneBis{4-(2_6-dimethylphenyl)}carbonate],0.351852,0.2,0.25,0.2,0.308642,0,0.135135,0.428571,0.5,0,0.297297,0.2,0,0.214286,0,0.230769,0,0.5,0,0,1,0,0,0.166667,0,0,0.285714,0.333333,0,0,0,0,0,0.181818,0.5,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,1,0,0,0,0,0,0.166667,0,0.117647,0.2,0,0.5,0.166667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(3-phenyl-1-propene),0.0925926,0.1,0.125,0,0.214425,0,0.162162,0.0952381,0,0,0.162162,0.1,0,0.107143,0,0.134615,0,0,0,0,0,0,0,0,0.125,0.166667,0.357143,0.0833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176471,0.05,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(p-xylylene),0.0740741,0.1,0.107143,0.05,0.25463,0,0.135135,0.0952381,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0,0,0,0,0.125,0.0833333,0.285714,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647,0.1,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly[oxy(m-phenylene)],0.0555556,0.1,0.0892857,0,0.513468,0,0.108108,0.0952381,0,0,0.108108,0.1,0,0.107143,0,0.0769231,0,0.25,0,0,0,0,0,0,0.0625,0.0833333,0.142857,0.166667,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.117647,0.1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Polycarbonate3,0.407407,0.5,0.410714,0.2,0.353009,0,0.378378,0.428571,0.5,0,0.405405,0.4,0.5,0.214286,0,0.403846,0,0.5,0,0,0,0,0,0.166667,0.25,0.166667,0.642857,0.333333,0.5,0,0,0,0,0.272727,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0,0,0,0.166667,0,0.352941,0.25,0.277778,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Polypentadiene,0.0185185,0,0.0357143,0.1,0.0783476,0,0.0540541,0.047619,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0,0,0.166667,0,0,0,0.0625,0.0833333,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.0588235,0,0.0555556,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Poly(methylAcrylate),0.037037,0,0.0178571,0,0.347222,0,0,0.0952381,0,0.5,0,0.05,0,0,0,0.0192308,0,0,0,0,0.166667,0,0,0.333333,0,0,0.142857,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.166667,0,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(4-cyclohexyl-1-butene),0.111111,0.1,0.142857,0,0.0363757,0,0.189189,0.0952381,0,0,0.189189,0.1,0,0,0,0.153846,0,0,0,0,0,0,0,0,0.3125,0,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(n-butylMethacrylate),0.111111,0,0.0714286,0,0.173611,0,0.0810811,0.047619,0.5,0.5,0.0810811,0.05,0,0,0,0.0576923,0,0.25,0,0,0.5,0,0,0.166667,0.0625,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0.111111,0.25,0.166667,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(3-methyl-4-chloroStyrene),0.111111,0.1,0.107143,0,0.465887,0,0.0810811,0.190476,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0.166667,0.25,0,0,0,0.0833333,0.357143,0.0833333,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.25,0,0,0,0,0.117647,0.05,0.0555556,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(p-n-propoxyStyrene),0.148148,0.1,0.142857,0,0.217236,0,0.162162,0.142857,0,0.5,0.135135,0.15,0,0.107143,0,0.134615,0,0.25,0,0,0.333333,0,0,0,0.0625,0.0833333,0.285714,0.166667,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.147059,0.1,0.0555556,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(o-ethylStyrene),0.111111,0.1,0.107143,0,0.185185,0,0.108108,0.142857,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0.333333,0,0,0,0.0625,0.166667,0.285714,0,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly[thio(p-phenylene)],0.0555556,0.1,0.0892857,0,0.715488,0,0.108108,0.0952381,0,0,0.108108,0.1,0,0.107143,0,0.0769231,0,0,1,0,0,0,0,0,0.0625,0.0833333,0.142857,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.117647,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
Polycarbonate2,0.351852,0.4,0.357143,0.2,0.388437,0,0.351351,0.333333,0.5,0,0.378378,0.3,0.5,0.214286,0,0.346154,0,0.5,0,0,0,0,0,0.166667,0.1875,0.166667,0.642857,0.333333,0.5,0,0,0,0,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0,0,0,0.166667,0,0.294118,0.25,0.222222,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(oxycarbonyl-3-methylpentamethylene),0.0925926,0,0.0892857,0.25,0.198413,0,0.108108,0.0952381,0,0,0.162162,0,0,0,0,0.0769231,0,0.25,0,0,0.166667,0,0,0.166667,0.125,0,0.214286,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.125,0,0.75,0,0,0,0,0.5,0,0,0,0,0.166667,0,0,0.166667,0,0,0,0,0,0.166667,0,0,0,0.222222,0.25,0.166667,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0
Poly[1_1-dichloroethyleneBis(4-phenyl)carbonate],0.296296,0.2,0.25,0.2,0.873677,0,0.243243,0.285714,0,0,0.297297,0.2,0,0.214286,0,0.230769,0,0.5,0,0,0.166667,0.5,0,0.166667,0.125,0.166667,0.285714,0.333333,0,0,0,0,0,0.181818,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0.5,0,0,0.166667,0,0.235294,0.2,0,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Polyoxyoctamethylene,0.0925926,0,0.125,0.35,0.062963,0,0.216216,0,0,0,0.216216,0,0,0,0,0.115385,0,0.25,0,0,0,0,0,0,0.4375,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0
Poly(2-hydroxypropylMethacrylate),0.111111,0,0.0535714,0,0.260943,0,0.0540541,0.047619,0.5,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0,0,0.5,0,0,0.333333,0,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,1,0.166667,0,0,0,0.0555556,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(p-n-butoxyStyrene),0.166667,0.1,0.160714,0,0.194764,0,0.189189,0.142857,0,0.5,0.162162,0.15,0,0.107143,0,0.153846,0,0.25,0,0,0.333333,0,0,0,0.125,0.0833333,0.285714,0.166667,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.147059,0.1,0.111111,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
